ID1000;John_1 Doe_1
Product_1;8
Product_2;6
Product_3;4
ID1001;John_2 Doe_2
Product_1;9
Product_2;8
Product_3;9
ID1002;John_3 Doe_3
Product_1;1
Product_2;5
Product_3;4
ID1003;John_4 Doe_4
Product_1;7
Product_2;8
Product_3;2
ID1004;John_5 Doe_5
Product_1;1
Product_2;6
Product_3;8
ID1005;John_6 Doe_6
Product_1;8
Product_2;8
Product_3;1
ID1006;John_7 Doe_7
Product_1;5
Product_2;1
Product_3;9
ID1007;John_8 Doe_8
Product_1;4
Product_2;10
Product_3;10
ID1008;John_9 Doe_9
Product_1;1
Product_2;2
Product_3;7
ID1009;John_10 Doe_10
Product_1;6
Product_2;10
Product_3;7
